Date,Open,High,Low,Close,GDP (constant 2015 MYR),GDP Growth YOY (%),OPR (%),MA_50,MA_200,EMA_50,EMA_200,RSI_50,BB_upper,BB_lower,GDP (constant 2015 MYR)_Lag_30D,GDP (constant 2015 MYR)_Lag_90D,GDP (constant 2015 MYR)_Lag_180D,GDP (constant 2015 MYR)_Lag_365D,OPR (%)_Lag_30D,OPR (%)_Lag_90D,Lagged_Close_30D,Lagged_Close_90D,Lagged_Close_180D,Lagged_Close_365D
2024-04-09,9.6899995803833,9.699999809265137,9.619999885559082,9.630000114440918,1804500000000.0,3.680282186,3.0,9.642199935913084,9.19774998664856,9.60450169643124,9.28054671612066,54.91331455378354,9.792576603246676,8.602923370050444,1804500000000.0,1804500000000.0,1804500000000.0,1804500000000.0,3.0,3.0,9.81999969482422,9.0,8.989999771118164,8.649999618530273
2024-04-10,9.630000114440918,9.670000076293944,9.609999656677246,9.649999618530272,1804500000000.0,3.680282186,3.0,9.644999923706054,9.201649985313416,9.606285928670417,9.284222864403342,54.11764573885368,9.79806385998529,8.605236110641544,1804500000000.0,1804500000000.0,1804500000000.0,1804500000000.0,3.0,3.0,9.81999969482422,9.0,8.979999542236328,8.729999542236328
2024-04-11,9.630000114440918,9.670000076293944,9.609999656677246,9.649999618530272,1804500000000.0,3.680282186,3.0,9.647399921417236,9.20554998397827,9.608000191017862,9.287862434096148,53.57143870831129,9.803444644110904,8.607655323845638,1804500000000.0,1804500000000.0,1804500000000.0,1804500000000.0,3.0,3.0,9.829999923706056,9.0600004196167,8.979999542236328,8.699999809265137
2024-04-12,9.630000114440918,9.670000076293944,9.609999656677246,9.649999618530272,1804500000000.0,3.680282186,3.0,9.649999904632567,9.209449982643129,9.609647227390898,9.291465789165144,53.89220360044673,9.808719744900127,8.610180220386127,1804500000000.0,1804500000000.0,1804500000000.0,1804500000000.0,3.0,3.0,9.619999885559082,9.079999923706056,8.979999542236328,8.710000038146973
2024-04-13,9.640000343322754,9.65999984741211,9.600000381469728,9.649999618530272,1804500000000.0,3.680282186,3.0,9.65239990234375,9.213349981307983,9.611229674102246,9.295033289954848,53.61446509915076,9.813889888327036,8.61281007428893,1804500000000.0,1804500000000.0,1804500000000.0,1804500000000.0,3.0,3.0,9.649999618530272,9.079999923706056,8.979999542236328,8.710000038146973
2024-04-14,9.640000343322754,9.65999984741211,9.600000381469728,9.649999618530272,1804500000000.0,3.680282186,3.0,9.65519989013672,9.21719997882843,9.612750064079815,9.298565293224256,54.26828559133776,9.819020052891984,8.615379904764877,1804500000000.0,1804500000000.0,1804500000000.0,1804500000000.0,3.0,3.0,9.710000038146973,9.079999923706056,9.0,8.699999809265137
2024-04-15,9.640000343322754,9.65999984741211,9.600000381469728,9.649999618530272,1804500000000.0,3.680282186,3.0,9.657999877929688,9.221499977111815,9.61421083092101,9.302062152182526,54.26828559133776,9.823338715817346,8.619661238406287,1804500000000.0,1804500000000.0,1804500000000.0,1804500000000.0,3.0,3.0,9.75,9.0600004196167,8.949999809265137,8.699999809265137
2024-04-16,9.649999618530272,9.649999618530272,9.579999923706056,9.579999923706056,1804500000000.0,3.680282186,3.0,9.659399871826173,9.225449976921082,9.6128692267165,9.304827702147934,52.0467803642935,9.826272701841132,8.624627252001032,1804500000000.0,1804500000000.0,1804500000000.0,1804500000000.0,3.0,3.0,9.75,9.050000190734863,8.960000038146973,8.699999809265137
2024-04-17,9.579999923706056,9.609999656677246,9.529999732971191,9.600000381469728,1804500000000.0,3.680282186,3.0,9.66119987487793,9.22969997882843,9.612364566118588,9.307764743733223,52.60116690334023,9.829025783866385,8.630374173790477,1804500000000.0,1804500000000.0,1804500000000.0,1804500000000.0,3.0,3.0,9.75,9.020000457763672,8.989999771118164,8.699999809265137
2024-04-18,9.630000114440918,9.699999809265137,9.59000015258789,9.670000076293944,1804500000000.0,3.680282186,3.0,9.664399871826172,9.2342999792099,9.614624782203895,9.311369075400496,54.44445150871657,9.832946581440336,8.635653376979466,1804500000000.0,1804500000000.0,1804500000000.0,1804500000000.0,3.0,3.0,9.649999618530272,9.029999732971191,8.989999771118164,8.6899995803833
2024-04-19,9.68000030517578,9.710000038146973,9.649999618530272,9.649999618530272,1804500000000.0,3.680282186,3.0,9.666799869537352,9.238799977302552,9.616012030687283,9.31473853354109,53.33333686546749,9.836341052667256,8.641258901937848,1804500000000.0,1804500000000.0,1804500000000.0,1804500000000.0,3.0,3.0,9.56999969482422,9.010000228881836,8.989999771118164,8.699999809265137
